Depth (m),"Grad. P (Pa/m), t=0.5 s","Grad. P (Pa/m), t=1.5 s","Grad. P (Pa/m), t=3.5 s","Grad. P (Pa/m), t=7 s","Grad. P (Pa/m), t=15 s","Grad. P (Pa/m), t=25 s"
0,0,0,0,0,-4.30E+06,-1.31E+06
0.6096,0,0,0,0,-3.20E+06,-1.10E+06
1.2192,0,0,0,0,-2.43E+06,-9.34E+05
1.8288,0,0,0,-1.53E+07,-1.88E+06,-8.02E+05
2.4384,0,0,0,-9.23E+06,-1.49E+06,-6.96E+05
3.048,0,0,0,-5.83E+06,-1.20E+06,-6.12E+05
3.6576,0,0,0,-3.84E+06,-9.89E+05,-5.45E+05
4.2672,0,0,-1.60E+07,-2.64E+06,-8.30E+05,-4.90E+05
4.8768,0,0,-8.23E+06,-1.89E+06,-7.11E+05,-4.47E+05
5.4864,0,0,-4.62E+06,-1.42E+06,-6.22E+05,-4.12E+05
6.096,0,-2.07E+07,-2.82E+06,-1.11E+06,-5.54E+05,-3.85E+05
6.7056,0,-8.01E+06,-1.88E+06,-9.06E+05,-5.04E+05,-3.64E+05
7.3152,0,-3.80E+06,-1.37E+06,-7.72E+05,-4.68E+05,-3.48E+05
7.9248,-1.03E+07,-2.20E+06,-1.08E+06,-6.87E+05,-4.43E+05,-3.36E+05
8.5344,-3.65E+06,-1.55E+06,-9.31E+05,-6.37E+05,-4.28E+05,-3.29E+05
9.144,-2.35E+06,-1.34E+06,-8.74E+05,-6.18E+05,-4.22E+05,-3.27E+05
9.26592,-2.31E+06,-1.33E+06,-8.72E+05,-6.17E+05,-4.21E+05,-3.26E+05
9.287256,-2.31E+06,-1.33E+06,-8.72E+05,-6.17E+05,-4.21E+05,-3.26E+05